Jurisdiction,Date,New Cases,7-day Average New Cases,Cumulative cases                          ,Population (2019),New Case Rate,7-Day Average New Case Rate,Cumulative Case Rate,County FIPS Code,Longitude,Latitude,Georeferenced Lat & Long
Lycoming,05/12/2021,23,23.7,11638,113299,20.3,20.9,10271.9,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Lancaster,09/16/2020,41,37.1,7437,545724,7.5,6.8,1362.8,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Bucks,07/27/2020,47,41,6745,628270,7.5,6.5,1073.6,42017,-75.11291241,40.33501133,POINT (-75.11291241 40.33501133)
Blair,03/16/2020,0,0,0,121829,0,0,0,42013,-78.34907687,40.48555024,POINT (-78.34907687 40.48555024)
Centre,03/18/2020,0,0,0,162385,0,0,0,42027,-77.82500112,40.9193135,POINT (-77.82500112 40.9193135)
Susquehanna,10/30/2020,4,3.3,424,40328,9.9,8.1,1051.4,42115,-75.80250303,41.8205686,POINT (-75.80250303 41.8205686)
Chester,05/24/2021,45,34.4,40400,524989,8.6,6.6,7695.4,42029,-75.75626498,39.97487056,POINT (-75.75626498 39.97487056)
McKean,09/01/2020,0,0.7,47,40625,0,1.8,115.7,42083,-78.5712202,41.81037074,POINT (-78.5712202 41.81037074)
Lycoming,04/17/2021,27,36.9,10951,113299,23.8,32.5,9665.6,42081,-77.06942457,41.34459792,POINT (-77.06942457 41.34459792)
Allegheny,08/28/2020,71,53.6,10208,1216045,5.8,4.4,839.4,42003,-79.98619843,40.46735543,POINT (-79.98619843 40.46735543)
Warren,07/03/2020,0,0.3,7,39191,0,0.7,17.9,42123,-79.27858158,41.81675237,POINT (-79.27858158 41.81675237)
Cumberland,04/21/2020,9,11,210,253370,3.6,4.3,82.9,42041,-77.26866271,40.16759839,POINT (-77.26866271 40.16759839)
Sullivan,02/22/2021,0,0.7,311,6066,0,11.8,5126.9,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Erie,12/25/2020,154,198.6,11156,269728,57.1,73.6,4136,42049,-80.0407591,41.99413787,POINT (-80.0407591 41.99413787)
Crawford,06/16/2020,0,0.6,38,84629,0,0.7,44.9,42039,-80.11321083,41.68546907,POINT (-80.11321083 41.68546907)
Elk,03/14/2020,0,0,0,29910,0,0,0,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Sullivan,02/12/2021,3,1.7,303,6066,49.5,28.3,4995.1,42113,-76.5147922,41.4480994,POINT (-76.5147922 41.4480994)
Lehigh,06/12/2021,4,10.7,39759,369318,1.1,2.9,10765.5,42077,-75.60099481,40.61464794,POINT (-75.60099481 40.61464794)
Wyoming,04/14/2020,0,1.3,14,26794,0,4.8,52.3,42131,-76.01813003,41.51892488,POINT (-76.01813003 41.51892488)
Clarion,07/07/2021,0,0.3,3207,38438,0,0.7,8343.3,42031,-79.42483608,41.19279129,POINT (-79.42483608 41.19279129)
Elk,09/23/2020,2,0.7,76,29910,6.7,2.4,254.1,42047,-78.64947713,41.42819416,POINT (-78.64947713 41.42819416)
Indiana,04/11/2020,2,4.1,42,84073,2.4,4.9,50,42063,-79.09333493,40.65295497,POINT (-79.09333493 40.65295497)
Lancaster,07/02/2020,29,37,4540,545724,5.3,6.8,831.9,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
Lancaster,07/08/2020,32,27.6,4704,545724,5.9,5.1,862,42071,-76.25138768,40.04590796,POINT (-76.25138768 40.04590796)
